_id,_index_map,households.amenities_present_in_house
03cf2f89-7ed5-497a-b1ed-9db92d38f646,0.0,Electricity
03d1d2fc-3bc6-41ff-9539-00d44ec7c3db,0.0,Electricity
03d4f072-fb72-4ba8-a877-5d6ccfae5570,0.0,Water Supply
03d8440d-c267-44fe-93ca-8f82de193648,0.0,Electricity
03f9645c-b764-47fc-8fff-19f5cd7984b2,0.0,Electricity
03fd0a2f-1f80-46b9-a17e-d81a998c8fcf,0.0,Electricity
04020505-5deb-4649-a459-d6f8eff971bb,0.0,Electricity
0423a89a-5414-4e8f-9d16-d6736cbc0ac2,0.0,Electricity
04248158-4046-41e3-abce-24dce3ec7204,0.0,Electricity
04570897-f73e-4222-8aa4-6b40c57bc4e0,0.0,Electricity
045881a4-6ef6-400d-b51f-eb2ba579043e,0.0,Electricity
045f96a4-2d40-497f-9dd0-cec05c7c5317,0.0,Electricity
046aec4c-e285-4089-ba75-bdc7ea10f8c0,0.0,Electricity
046b0ffe-56c5-49a3-9f1c-5e058fe2efa3,0.0,Electricity
047b2190-9ea5-4364-9e5c-fadadf22bfa4,0.0,Electricity
047c0aea-e69f-4723-b92b-87cbf2ca6d6f,0.0,Water Supply
047eef21-0259-4bc3-89fe-cfc082162c01,0.0,Electricity
04849fe6-8488-4d5b-93d2-bc3263be7d5c,0.0,Electricity
048569bc-553f-4096-aecb-3b5112c0279b,0.0,Electricity
04a0f414-05eb-4731-9bc8-01bcb8b08fd7,0.0,Electricity
04a7e329-0c89-4790-b43a-541a3e597588,0.0,Electricity
04aecebd-ecb6-4629-ab93-9be9a2e9bafd,0.0,Electricity
04c54209-620d-4210-96fa-619b31f5955c,0.0,Electricity
04d37a0e-974b-4dde-adb2-9567b990eb8d,0.0,Electricity
04e4d7c9-56a7-4f39-be9c-44ce83975222,0.0,Electricity
04ea0568-17b6-449b-8045-2d9ec61e944f,0.0,Electricity
04f0d118-96eb-4fd8-88cf-95c0a2902852,0.0,Electricity
04f78ff1-bd93-4dce-b85c-0137bb92404b,0.0,Electricity
054d9d10-f846-4949-b3b2-f03e4eafa15f,0.0,Water Supply
0553367f-a2f1-46b2-88f8-b0b26712b791,0.0,Electricity
05538201-f05a-44f2-bf83-24980d2e2126,0.0,Electricity
05911e9c-6a64-437e-8919-b1e4588bd8d3,0.0,Electricity
059419ad-46a0-432e-9104-a2c20181ef6e,0.0,Electricity
05a65e31-ea49-410b-a4c0-6b21ff6440d7,0.0,Electricity
05a94e52-eafe-4b3b-b84c-96bf6f5da944,0.0,Electricity
05bc9ca1-b888-4dab-ba3a-c31b6c401784,0.0,Electricity
05c697d6-76d6-4326-9bbe-aa2572968e00,0.0,Electricity
05c8d7e5-ec8e-47c4-a91c-42c07ea7716e,0.0,Electricity
05c91ab4-515c-40d9-ba6f-8134d0a55661,0.0,Electricity
05cd5f43-503c-4a1c-a3fa-df788f5a3796,0.0,Electricity
05d35f7c-b2fe-4d8d-a85f-14736cb51fbe,0.0,Electricity
05d9c100-1df2-44be-a252-cdcfec455f4a,0.0,Electricity
05f306aa-1183-458a-bef2-84dd14b90c39,0.0,Electricity
05f5623a-b8b9-42c8-83d0-5a679b644aa3,0.0,Electricity
05f6cc29-23b5-49be-b3d6-72f48668c854,0.0,Electricity
05f787da-e52a-4991-8b0b-92a3b8a4a18d,0.0,Water Supply
05fc90af-21d8-4b6e-9e15-7a84b4b056b9,0.0,Electricity
0601b02d-18e5-42ce-b731-25d1b8bed3f3,0.0,Electricity
0604ee4b-a93f-448a-bfaa-f83518f54b3e,0.0,Electricity
060c40d7-bab1-4ef0-bb33-885fda869665,0.0,Electricity
060ff04a-4946-4d8b-aa5b-95758846e0de,0.0,Electricity
0614a58b-3917-4852-bcf6-c63e2a19a01e,0.0,Electricity
0622001c-bf8a-4a9c-b674-9130da05171d,0.0,Electricity
06276675-5ae4-47af-8fe6-81bfeeb2f0e6,0.0,Water Supply
063864ba-cc78-4c78-af79-ea527f107604,0.0,Electricity
064ef1fc-ceba-4265-acfe-93aae5e5f079,0.0,Water Supply
065779be-b2d5-4011-8a07-ed3f88d20608,0.0,Electricity
0670e692-b5fe-4be5-9cc7-c895002f532a,0.0,Electricity
0672463d-875e-4af6-8066-4fd448b67c82,0.0,Electricity
067d397c-0386-4a8e-a9c5-369a9c6e0aea,0.0,Electricity
067d922a-5b1b-4a3a-af0a-23bedbae571b,0.0,Electricity
06858176-49dd-4705-8cfc-85a9ecdb916c,0.0,Water Supply
06883d3b-fdfb-4e2f-9f2d-e7b8a009d4b3,0.0,Electricity
068c3c8e-697d-4376-8b69-bbf82b441f9a,0.0,Electricity
068cd1e2-d4fb-47ce-9b3c-5575e29c2963,0.0,Electricity
068e100e-3405-4216-b340-4339cab2c92f,0.0,Electricity
06a30d7b-2380-49ca-833f-274cc595ef00,0.0,Electricity
06afff52-e50d-4c2f-b7f6-845549c200c6,0.0,Electricity
06b89497-e9a7-47c9-8abb-1138f4d81fac,0.0,Electricity
06c75720-4de8-4aab-a89a-896da1335b8e,0.0,Electricity
06c80737-cceb-4dd3-b9b8-97dd78d726f6,0.0,Water Supply
06cdc43a-c7ad-4af8-9025-669ca8b36102,0.0,Electricity
06e25282-e7eb-4913-ac6b-519b5ea4aeef,0.0,Electricity
06f80ff5-35cc-48f6-80e0-14d0336506c1,0.0,Electricity
06f91754-3033-47f7-81d4-a17e5faaec06,0.0,Electricity
0704fd47-b190-41ea-a6e3-779ff98bde25,0.0,Electricity
0712357e-c1c8-4ab1-9bff-02c825acc89f,0.0,Electricity
071555fc-a583-4ce2-9d16-a75727e3d6b7,0.0,Electricity
0737f2aa-2cb4-422b-85bd-f574ed9ae683,0.0,Electricity
073f3286-b14a-4d43-afe2-f387893784d4,0.0,Electricity
0740ad7d-e732-4018-ad71-2bdd73f5b972,0.0,Electricity
07472946-ca3d-4fee-9553-60f0119df5f7,0.0,Electricity
07561cb0-ac0c-4e18-b5c4-90f7898e1f2c,0.0,Electricity
075a1c4d-a7a7-4594-bdd3-fce62687d30c,0.0,Electricity
075e779c-11ac-4bde-ac4b-800251259f9b,0.0,Electricity
0764b2c7-b51f-45af-ae0e-e76975b640e0,0.0,Electricity
077f4c78-938e-4084-9c57-d40e48c72f30,0.0,Proper Ventilation
078c6b15-0734-4ada-88fb-662216a2d98a,0.0,Electricity
078e50cd-af98-46e5-a034-f51bd0f24dbb,0.0,Electricity
07ab7294-5b58-41c7-83e9-8ba51c32277f,0.0,Electricity
07c7972f-8efc-4243-9dda-f672b7b224cf,0.0,Electricity
07d09ee0-7a4b-49d8-9509-17764bcf695e,0.0,Electricity
07d29371-745b-4cde-b5f2-134bf36e69d9,0.0,Electricity
07dc962d-14d7-48fc-bdff-55231fa75baf,0.0,Water Supply
07ddff35-bf49-4c73-b7dc-fd161f25e27c,0.0,Electricity
07fb7a2e-d704-4362-bfed-9af07476aa2a,0.0,Electricity
0813adaf-21bf-408f-9e85-fb89907deaab,0.0,Electricity
081c41de-b4d4-4c3a-b843-3dce0211595b,0.0,Electricity
08399b80-3bf4-480a-95d0-bbc27a16fe93,0.0,Electricity
083d43c0-c496-46fb-8333-0a09b30f6dd5,0.0,Water Supply
083f88a2-4c5b-4205-b2fd-a11bb6da58af,0.0,Electricity
0842a293-a9ce-4b76-a9af-6bbf018e6030,0.0,Electricity
084b4c3a-47d6-4796-9f8d-bcff51a80c6a,0.0,Electricity
084bca4e-3b2a-4ebe-9ae4-5ad36d2c06e8,0.0,Electricity
084c40d9-f499-4ed9-b104-f542d27de858,0.0,Electricity
084e6db0-79f7-41d4-a2db-1dc3f4dd69ee,0.0,Electricity
0850b4ca-378e-48f2-9146-935ca47439f2,0.0,Electricity
08522a84-9371-422a-a5d7-42f8b78c6971,0.0,Electricity
08538770-6b4e-416e-9bb8-f36002a696fe,0.0,Water Supply
086e2544-38e1-4b55-bffa-f8d3402eb3b5,0.0,Electricity
0889dfa4-5413-4c92-9c2d-4b4b78c1742c,0.0,Electricity
08914a4e-0696-4d59-97e7-ffd1f229cab0,0.0,Electricity
08962c7b-b0df-4c66-8830-f611d3ccf685,0.0,Electricity
08b08223-d9ae-462b-b2ce-10b1dd75c9e3,0.0,Electricity
08b60b99-f24a-4956-998e-3963a0b72a82,0.0,Electricity
08ba4c0a-72da-45e7-898a-7b54f97b4858,0.0,Electricity
08cb1e79-e112-4f74-aeab-5c5b642f205b,0.0,Electricity
08d0c86c-a097-43d9-bec0-c6bc9d214c94,0.0,Electricity
08d57edd-b70d-451a-904f-a2013ae80b55,0.0,Electricity
08db9326-f681-4676-8767-761c50acf456,0.0,Electricity
08e3f3b4-17f6-4225-8874-4953642616b7,0.0,Electricity
08f2321a-ee9c-43e1-9263-64c1f331dc19,0.0,Electricity
08fd5f3d-56e5-46c4-b6bb-3da3d79fe3d2,0.0,Electricity
09047912-58f9-4274-9d49-849f345f6051,0.0,Electricity
09137d26-88a5-4945-804b-b16493810657,0.0,Electricity
0917b602-5f57-4f41-89f0-e944cdc27efb,0.0,Electricity
092536df-2864-4d7a-a2b2-57d2fdaf50ca,0.0,Electricity
0934c5d8-7001-487f-b7d9-9894ecb2a177,0.0,Electricity
094a0eeb-143d-4e04-a57e-f945cb1b2347,0.0,Electricity
094d7123-2930-4e2d-be5f-7ba4f319fb84,0.0,Electricity
0957ae4b-aac6-488c-a867-877f8bb906f6,0.0,Electricity
0969df7a-daad-4751-98eb-b5913e405b8c,0.0,Electricity
096b17ec-e0dd-482d-9ff7-ad578611eef1,0.0,Electricity
09818691-f1ec-447a-8c79-565452918d8c,0.0,Electricity
0982ce4c-468f-44b1-a420-ade47c5484a1,0.0,Electricity
09918105-1ae0-41f2-abcf-814fbfe15137,0.0,Electricity
09951362-7c3a-47b1-9270-93a8b3c37074,0.0,Electricity
0997e600-3127-446f-b7d8-58214e73e885,0.0,Electricity
099bd034-0ebe-4ddd-9b82-a533f98bfc52,0.0,Electricity
09bd6e91-a954-417d-ac88-cc405a5feb2f,0.0,Electricity
09d02f8c-ac46-4706-93fd-bcc82d3482ef,0.0,Electricity
09d0b174-3f90-4ef9-90e0-9ae5def46208,0.0,Electricity
09d176ba-94b7-433f-8123-e8675efd3af8,0.0,Electricity
09eff007-2d3b-4533-b4f6-21597700fa6d,0.0,Electricity
09f5b087-37ca-4606-b3dc-3063631ee6fa,0.0,Electricity
09f6368b-004a-4df4-b29c-a556098683da,0.0,Electricity
09f85273-4cf0-49f8-8f5a-faea66c29d94,0.0,Electricity
09fd429c-1696-4f28-a88a-e3116fb156cf,0.0,Electricity
0a007151-da58-4300-9db9-5a6490d769cf,0.0,Electricity
0a0a781a-5671-4539-a048-1a4dc71c18de,0.0,Electricity
0a1204b0-9737-4458-9a66-c9d808ed79a5,0.0,Electricity
0a200896-4a76-4bb5-be65-8a44fe30488d,0.0,Electricity
0a24eea4-2a0f-4970-b42d-7454e41fb97c,0.0,Electricity
0a26e38c-3421-4c4e-a9f1-3196e9a1a1e5,0.0,Electricity
0a27673e-92d0-4102-b439-99b8b11bd131,0.0,Electricity
0a349d2f-2ab0-4b7f-808f-fb0148a56450,0.0,Electricity
0a583ac4-8b39-4dfd-b404-b03c1c896028,0.0,Electricity
0a5f8719-d540-4d75-a1a9-b25a9616b5ed,0.0,Electricity
0a6181cc-d23d-4fbf-8f0e-f264c273e0e6,0.0,Electricity
0a66df57-17b9-43c9-b6ef-862a8a5a08c3,0.0,Electricity
0a7709a2-e26c-4ef7-99a7-d863c250ed22,0.0,Electricity
0a799b1e-8d93-478d-b667-8dcb09a64df9,0.0,Electricity
0a7f7a80-e58a-4123-8f5f-c63927dcea0f,0.0,Water Supply
0a8290b1-c1fd-451b-82d2-efb6746eb530,0.0,Electricity
0a8b0c0a-7176-4c41-a5ed-2b48ebbaa9e0,0.0,Electricity
0a9908c1-13d8-4d68-985a-12188a1e110d,0.0,Electricity
0aa7138d-a36c-43e4-9afa-e1b3907936e5,0.0,Electricity
0aa933fc-b10f-4b7e-a6cf-68c3ab9d351e,0.0,Electricity
0ab01763-e305-484e-bb29-1befdcd7f5fc,0.0,Electricity
0ab31ca4-a428-4855-b84a-18cab4ee5259,0.0,Electricity
0ab5c935-c12b-4f8f-a8dc-5ee8d04ad146,0.0,Electricity
0ac725cf-eed8-4d9c-afdb-f7d91b1120f1,0.0,Electricity
0adf1bd2-3a54-4912-ba42-da6785613da0,0.0,Electricity
0aebafaf-bda7-4f9b-87ee-a0c13b0f5533,0.0,Electricity
0b18904d-9398-4f20-8708-0ef286c6b3ec,0.0,Electricity
0b1b2851-c748-46c5-8fc2-2df1d8ce64ca,0.0,Electricity
0b1ebbbc-58b0-44ae-9682-8c2f4b225275,0.0,Electricity
0b408de7-6bac-4ca5-b6a6-3bfcdd98f90a,0.0,Electricity
0b41f28f-189f-415f-b58c-015ba23bbc99,0.0,Electricity
0b526edd-b058-4a7e-990e-523dab04b0e0,0.0,Electricity
0b64e900-380a-4791-9809-cf07ada0f4db,0.0,Electricity
0b6ea885-60b4-4f52-b1cf-7841a91df35e,0.0,Electricity
0b726be0-c50c-4f90-8765-64bc94a39cc1,0.0,Electricity
0b9ab16d-cc43-4d39-8193-fe105b14e40a,0.0,Electricity
0ba33172-3085-46fb-ae4c-6a49466d27fc,0.0,Electricity
